date,site,station,sex,concentration_pg_g,elev_m,longitude,latitude
2018-06-08,Cable Gate,Cable Gate 1,male,11563.40758,3343.246582,-105.57004854240684,40.045500594661185
2018-06-08,Cable Gate,Cable Gate 2,male,10629.14328,3353.369629,-105.56960474332529,40.04570098965966
2018-06-08,Cable Gate,Cable Gate 3,male,10923.56761,3357.71875,-105.56900735190848,40.04575798287792
2018-06-13,West Knoll,West Knoll 3,male,10413.54461,3577.989014,-105.59423799019311,40.055559952331244
2018-06-13,West Knoll,West Knoll 4,male,13530.58929,3584.194336,-105.59394864433467,40.0559938983516
2018-06-13,West Knoll,West Knoll 5,NA,7798.556309,3594.827393,-105.59418173051426,40.05718197440617
2018-06-13,West Knoll,West Knoll 6,male,4714.9558720000005,3603.312256,-105.59511050373783,40.056123080681346
2018-06-13,West Knoll,West Knoll 7,NA,2086.739083,3616.445557,-105.59535102264326,40.05681558652008
2018-06-13,West Knoll,West Knoll 8,male,12898.84405,3606.109375,-105.5951094379355,40.05734839582314
2018-06-13,West Knoll,West Knoll 10,male,11328.85854,3566.696533,-105.59282781648066,40.05654021676512
2018-06-21,West Knoll,West Knoll 12,NA,3373.775631,3580.776123,-105.59707903500154,40.05867168691596
2018-06-21,West Knoll,West Knoll 13,male,7588.360814,3559.896729,-105.59645329417857,40.0595218148983
2018-06-25,Long Lake,Long Lake 1,NA,10202.31908,3295.538086,-105.58720017919943,40.068858001636805
2018-06-25,Long Lake,Long Lake 2,NA,8032.843488,3305.235352,-105.58761860998858,40.06842341853934
2018-06-25,Long Lake,Long Lake 3,NA,7622.995779,3278.479492,-105.58773181175637,40.06931479600728
2018-06-25,West Knoll,West Knoll 6,male,7451.387454,3603.312256,-105.59507525307055,40.05611425211243
2018-06-25,West Knoll,West Knoll 11,NA,9681.781474,3589.890137,-105.59783711413192,40.058208286621
2018-06-13,Cable Gate,Cable Gate 4,NA,9166.906396,3406.548096,-105.56725609041524,40.04803700249655
2018-06-29,Cable Gate,Cable Gate 1,male,3101.191785,3343.246582,-105.57004876752856,40.04552762251622
2018-06-29,Cable Gate,Cable Gate 3,male,8464.726516,3357.71875,-105.56901899938234,40.04574891602317
2018-07-11,West Knoll,West Knoll 1,male,2555.501229,3602.490967,-105.59928937635262,40.055344731322364
2018-07-11,West Knoll,West Knoll 2,NA,2656.357971,3609.731934,-105.59739512935373,40.05593113042113
2018-07-11,West Knoll,West Knoll 3,male,7184.813401,3577.989014,-105.59424947943731,40.055532864506205
2018-07-11,West Knoll,West Knoll 5,NA,7494.844024,3594.827393,-105.59418173051426,40.05718197440617
2018-07-11,West Knoll,West Knoll 6,male,4423.849231,3603.312256,-105.59507525307055,40.05611425211243
2018-07-11,West Knoll,West Knoll 8,male,7574.873637,3606.109375,-105.59510959468005,40.0573664142759
2018-07-11,West Knoll,West Knoll 9,male,11551.25275,3601.595947,-105.59444778796716,40.05676616663638
2018-07-11,West Knoll,West Knoll 11,NA,3508.791451,3589.890137,-105.5978485236431,40.05817218923796
2018-07-11,West Knoll,West Knoll 12,NA,4320.304402,3580.776123,-105.59705558593447,40.058671807761506
2018-07-11,West Knoll,West Knoll 13,male,7169.233683,3559.896729,-105.59646509741592,40.05953076375678
2018-07-20,West Knoll,West Knoll 1,male,6937.691948,3602.490967,-105.5993127453496,40.055335600810395
2018-07-20,West Knoll,West Knoll 2,NA,3682.347737,3609.731934,-105.59740685341687,40.055931069968004
2018-07-20,West Knoll,West Knoll 5,NA,10600.03736,3594.827393,-105.59415812545248,40.0571640762052
2018-07-20,West Knoll,West Knoll 6,male,8763.88082,3603.312256,-105.59511058210683,40.056132089909646
2018-07-20,West Knoll,West Knoll 7,NA,3671.696399,3616.445557,-105.59536290367063,40.056833544726274
2018-07-20,West Knoll,West Knoll 8,male,5460.3280350000005,3606.109375,-105.5950859893136,40.05734851626679
2018-07-20,West Knoll,West Knoll 9,male,9224.051932,3601.595947,-105.59444786625066,40.056775175864765
2018-07-20,West Knoll,West Knoll 10,male,5152.960363,3566.696533,-105.59281632650755,40.05656730444979
2018-07-20,West Knoll,West Knoll 11,NA,3346.645098,3589.890137,-105.59781319284305,40.05815435229488
2018-07-20,West Knoll,West Knoll 13,male,6944.39406,3559.896729,-105.5964417266055,40.059539893701015
2018-07-20,Cable Gate,Cable Gate 1,male,3375.85483,3343.246582,-105.56996708631151,40.045573072623625
2018-07-20,Cable Gate,Cable Gate 2,male,2391.540034,3353.369629,-105.56960481830794,40.04570999894507
2018-07-20,Cable Gate,Cable Gate 4,NA,2667.61385,3406.548096,-105.56720919932107,40.048037232060814
2018-07-31,West Knoll,West Knoll 1,male,3380.834195,3602.490967,-105.59928929743552,40.05533572209972
2018-07-31,West Knoll,West Knoll 2,NA,1997.506187,3609.731934,-105.59740701075863,40.05594908841764
2018-07-31,West Knoll,West Knoll 3,male,5566.656068,3577.989014,-105.59423783368813,40.055541933869996
2018-07-31,West Knoll,West Knoll 4,male,5068.887295,3584.194336,-105.59400757763424,40.056029634738564
2018-07-31,West Knoll,West Knoll 5,NA,3011.41036,3594.827393,-105.59421690336721,40.057181794014056
2018-07-31,West Knoll,West Knoll 6,male,4823.64386,3603.312256,-105.59509870126945,40.056114131674015
2018-07-31,West Knoll,West Knoll 7,NA,4191.337215,3616.445557,-105.59533929842415,40.05681564676628
2018-07-31,West Knoll,West Knoll 8,male,2382.67909,3606.109375,-105.59513312168342,40.05737530305376
2018-07-31,West Knoll,West Knoll 9,male,3733.349695,3601.595947,-105.59445966874983,40.05678412493716
2018-07-31,West Knoll,West Knoll 10,male,6147.084577,3566.696533,-105.59281624843946,40.056558295218444
2018-07-31,West Knoll,West Knoll 11,NA,2510.726898,3589.890137,-105.59783672046315,40.058163240517935
2018-07-31,West Knoll,West Knoll 12,NA,2524.599661,3580.776123,-105.59709075953502,40.0586716264914
2018-07-31,West Knoll,West Knoll 13,male,3070.051038,3559.896729,-105.59644149094433,40.05951286603857
2018-08-01,Cable Gate,Cable Gate 1,male,2058.969329,3343.246582,-105.56996708631151,40.045573072623625
2018-08-01,Cable Gate,Cable Gate 2,male,1959.352059,3353.369629,-105.56960481830794,40.04570999894507
2018-08-01,Cable Gate,Cable Gate 3,male,1906.10691,3357.71875,-105.56900720210025,40.04573996430537
2018-08-02,Long Lake,Long Lake 1,NA,3552.72238,3295.538086,-105.58734166861403,40.06894738052072
2018-08-02,Long Lake,Long Lake 2,NA,1332.291848,3305.235352,-105.58765371124356,40.0684142308771
2018-08-02,Long Lake,Long Lake 3,NA,834.0471397,3278.479492,-105.58766114379183,40.069279116052996
2018-08-09,West Knoll,West Knoll 1,male,2409.082331,3602.490967,-105.59928929743552,40.05533572209972
2018-08-09,West Knoll,West Knoll 2,NA,3820.159299,3609.731934,-105.59740701075863,40.05594908841764
2018-08-09,West Knoll,West Knoll 3,male,5498.395459,3577.989014,-105.59423783368813,40.055541933869996
2018-08-09,West Knoll,West Knoll 4,male,6315.085465,3584.194336,-105.59400757763424,40.056029634738564
2018-08-09,West Knoll,West Knoll 5,NA,6596.494759,3594.827393,-105.59421690336721,40.057181794014056
2018-08-09,West Knoll,West Knoll 6,male,5498.395459,3603.312256,-105.59509870126945,40.056114131674015
2018-08-09,West Knoll,West Knoll 7,NA,2145.282824,3616.445557,-105.59533929842415,40.05681564676628
2018-08-09,West Knoll,West Knoll 8,male,3592.122472,3606.109375,-105.59513312168342,40.05737530305376
2018-08-09,West Knoll,West Knoll 9,male,10359.42617,3601.595947,-105.59445966874983,40.05678412493716
2018-08-09,West Knoll,West Knoll 10,male,5223.489074,3566.696533,-105.59281624843946,40.056558295218444
2018-08-09,West Knoll,West Knoll 11,NA,2521.457733,3589.890137,-105.59783672046315,40.058163240517935
2018-08-09,West Knoll,West Knoll 12,NA,1863.062959,3580.776123,-105.59709075953502,40.0586716264914
2018-08-09,West Knoll,West Knoll 13,male,7124.036634,3559.896729,-105.59644149094433,40.05951286603857
2018-08-20,West Knoll,West Knoll 1,male,4243.710999,3602.490967,-105.59928929743552,40.05533572209972
2018-08-20,West Knoll,West Knoll 2,NA,2195.373575,3609.731934,-105.59740701075863,40.05594908841764
2018-08-20,West Knoll,West Knoll 3,male,4432.816867,3577.989014,-105.59423783368813,40.055541933869996
2018-08-20,West Knoll,West Knoll 5,NA,5907.7399,3594.827393,-105.59421690336721,40.057181794014056
2018-08-20,West Knoll,West Knoll 6,male,3781.171857,3603.312256,-105.59509870126945,40.056114131674015
2018-08-20,West Knoll,West Knoll 7,NA,1328.038523,3616.445557,-105.59533929842415,40.05681564676628
2018-08-20,West Knoll,West Knoll 8,male,1626.290164,3606.109375,-105.59513312168342,40.05737530305376
2018-08-20,West Knoll,West Knoll 9,male,7813.06884,3601.595947,-105.59445966874983,40.05678412493716
2018-08-20,West Knoll,West Knoll 10,male,3990.391094,3566.696533,-105.59281624843946,40.056558295218444
2018-08-20,West Knoll,West Knoll 11,NA,1991.523326,3589.890137,-105.59783672046315,40.058163240517935
2018-08-20,West Knoll,West Knoll 12,NA,1711.879995,3580.776123,-105.59709075953502,40.0586716264914
2018-08-20,West Knoll,West Knoll 13,male,3910.372543,3559.896729,-105.59644149094433,40.05951286603857
2018-08-20,Cable Gate,Cable Gate 1,male,6138.824698,3343.246582,-105.56996708631151,40.045573072623625
2018-08-20,Cable Gate,Cable Gate 2,male,3391.772613,3353.369629,-105.56960481830794,40.04570999894507
2018-08-20,Cable Gate,Cable Gate 3,male,6155.326683,3357.71875,-105.56900720210025,40.04573996430537
2018-08-20,Cable Gate,Cable Gate 4,NA,2392.560366,3406.548096,-105.56720919932107,40.048037232060814
2018-08-20,Long Lake,Long Lake 1,NA,1804.870175,3295.538086,-105.58734166861403,40.06894738052072
2018-08-20,Long Lake,Long Lake 2,NA,2219.312136,3305.235352,-105.58765371124356,40.0684142308771
2018-08-20,Long Lake,Long Lake 3,NA,6964.362748,3278.479492,-105.58766114379183,40.069279116052996
2018-09-04,Cable Gate,Cable Gate 1,male,4261.143434,3343.246582,-105.56996708631151,40.045573072623625
2018-09-04,Cable Gate,Cable Gate 2,male,2103.298327,3353.369629,-105.56960481830794,40.04570999894507
2018-09-04,Cable Gate,Cable Gate 3,male,5588.298378,3357.71875,-105.56900720210025,40.04573996430537
2018-09-04,Cable Gate,Cable Gate 4,NA,10006.32459,3406.548096,-105.56720919932107,40.048037232060814
2018-09-04,West Knoll,West Knoll 1,male,3588.476581,3602.490967,-105.59928929743552,40.05533572209972
2018-09-04,West Knoll,West Knoll 2,NA,4081.991951,3609.731934,-105.59740701075863,40.05594908841764
2018-09-04,West Knoll,West Knoll 3,male,4706.125989,3577.989014,-105.59423783368813,40.055541933869996
2018-09-04,West Knoll,West Knoll 5,NA,5310.408749,3594.827393,-105.59421690336721,40.057181794014056
2018-09-04,West Knoll,West Knoll 6,male,4318.724805,3603.312256,-105.59509870126945,40.056114131674015
2018-09-04,West Knoll,West Knoll 7,NA,2981.705191,3616.445557,-105.59533929842415,40.05681564676628
2018-09-04,West Knoll,West Knoll 8,male,3636.968119,3606.109375,-105.59513312168342,40.05737530305376
2018-09-04,West Knoll,West Knoll 9,male,8426.719733,3601.595947,-105.59445966874983,40.05678412493716
2018-09-04,West Knoll,West Knoll 10,male,3512.231322,3566.696533,-105.59281624843946,40.056558295218444
2018-09-04,West Knoll,West Knoll 11,NA,2195.60841,3589.890137,-105.59783672046315,40.058163240517935
2018-09-04,West Knoll,West Knoll 12,NA,3231.773896,3580.776123,-105.59709075953502,40.0586716264914
